Richiesta,Titolo YouTube,Canale,URL,Status,Data Analisi
Benjamin Ingrosso - Angela,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Ally Salort - Swiss Army Knife,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Thomas Rhett - Ain't A Bad Life,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Alex Warren - Who I Am,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Telykast feat. Winona Oak - Super Powers,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Jake Miller - Only Always,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Cian Ducrot - Your Eyes,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Isaac Levi - Rest Of Me,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Jake Miller - I Know The Feeling,,,,❌ Nessun video ufficiale,2025-09-05 07:31
HUNTRX- Golden,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Natalie Jane -  Girls will b girls,,,,❌ Nessun video ufficiale,2025-09-05 07:31
James Smith - Rain On Me,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Jake Miller - Rock Bottom,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Fletcher - Party,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Jake Miller - Dream You Up,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Grace Davies - Hotel Delilah,,,,❌ Nessun video ufficiale,2025-09-05 07:31
"Shablo feat. Joan Thiele, Joshua & Nayt - Che Storia Sei",,,,❌ Nessun video ufficiale,2025-09-05 07:31
Loreen - Echoes,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Niccolò Fabi - Casa di Gemma,,,,❌ Nessun video ufficiale,2025-09-05 07:31
JP Saxe - What I think I want,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Fletcher - Would You Still Love Me,,,,❌ Nessun video ufficiale,2025-09-05 07:31
"Shablo feat. Irama, Joshua & Tormento - Mille Problemi",,,,❌ Nessun video ufficiale,2025-09-05 07:31
Zoe Wees feat. Dean Lewis - Learn To Love,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Charlotte Lawrence - Fear of Falling,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Charlotte Lawrence - Better Than This,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Teddy Swims - Dancing With Your Ghost,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Ke$ha - The one,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Fabri Fibra feat. Joan Thiele - Milano Baby,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Tellynonpiangere - L'unica,,,,❌ Nessun video ufficiale,2025-09-05 07:31
"JC Stewart - Hey Babe,  I'm A Mess, I'm Sorry",,,,❌ Nessun video ufficiale,2025-09-05 07:31
JC Stewart - Used To,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Yungblud - Idols Pt. II,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Leroy Sanchez - Cry Me a Little,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Leroy Sanchez - Fallin_,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Leroy Sanchez - Nuclear,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Yungblud - War,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Ally Salort - Tattoo (selective memory),,,,❌ Nessun video ufficiale,2025-09-05 07:31
Yungblud - Monday Murder,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Leroy Sanchez - Aftershock,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Ke$ha - Red Flag,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Chris Brown - Holy Blindfold,Chris Brown - Holy Blindfold (Official Video),ChrisBrownVEVO,https://www.youtube.com/watch?v=X4g30-XY9Ck,✅ Official trovato,2025-09-05 07:31
Il Pagante - Piangere In Discoteca,,,,❌ Nessun video ufficiale,2025-09-05 07:31
"Fletcher - Hi, Everyone Leave Please",,,,❌ Nessun video ufficiale,2025-09-05 07:31
Il Pagante - FOMO,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Charlotte Lawrence - Tongue Tied,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Fletcher - Don't Tempt Me,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Bellah Mae - Sting,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Marina - Hello kitty,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Posniak - Sogno erotico,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Matt Hansen - Yellowstone (holding you),,,,❌ Nessun video ufficiale,2025-09-05 07:31
Calum Hood - All My Affection,,,,❌ Nessun video ufficiale,2025-09-05 07:31
La Monarchia - Vorrei dirti una cosa,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Jacopo Sol - Estremo,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Calum Hood - Sunsetter,,,,❌ Nessun video ufficiale,2025-09-05 07:31
James Smith - Dancing With You (Baby),,,,❌ Nessun video ufficiale,2025-09-05 07:31
Myles Smith - My First Heartbreak,Myles Smith - My First Heartbreak (Official Video),MylesSmithVEVO,https://www.youtube.com/watch?v=5LVU-P-yFuo,✅ Official trovato,2025-09-05 07:31
Bresh - Dai che fai,,,,❌ Nessun video ufficiale,2025-09-05 07:31
I patagarri - Io non ti conosco,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Sam Feldt - Time After Time,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Abor & Tynna - Winnetou,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Antonia - Le curve,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Joe Jonas - Parachute - Joe Jonas,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Morgan Wallen - Kick Myself,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Joe Jonas feat. Louane & Tiny Habits - Hey Beautiful,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Morgan Wallen feat. Tate McRae - What I Want,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Rkomi feat. Nayt - 10 secondi.,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Ludwig - Oddio,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Damiano David - The First Time,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Damiano David - Solitude No One Understands Me,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Maren Morris - Because of course,,,,❌ Nessun video ufficiale,2025-09-05 07:31
